rep_id,bench_number,traffic,primary_street,direction,secondary_street,cor,city,zip,latitude,longitude
1,LA-3467,SB,Inglewood Blvd,NS,Culver Blvd,SWC,Del Rey,90066,33.9949,-118.4181
1,LA-3470,WB,Jefferson Blvd,NS,Alla Rd,NEC,Playa Vista,90066,33.975,-118.424
1,LA-7591,NB,Kester Ave,NS,Kittridge St,SEC,Van Nuys,91405,34.1903,-118.4574
1,LA-0340,SB,Kester Ave,FS,Oxnard St,SWC,Van Nuys,91411,34.1793,-118.4575
1,LA-5549,NB,La Brea Ave,NS,6th St,SEC,Hancock Park,90036,34.0648,-118.3439
1,LA-1742,NB,La Brea Ave,NS,Melrose Ave,SEC,Hollywood (CA),90036,34.0833,-118.3439
1,LA-3113,NB,La Brea Ave,NS,Washington Blvd,SEC,Mid-City,90016,34.0402,-118.3475
1,LA-1754,NB,La Brea Ave,NS,Willoughby Ave,SEC,Hollywood (CA),90038,34.0869,-118.3439
1,LA-6303,SB,La Cienega Blvd,NS,Airdrome St,NWC,Pico-Robertson,90035,34.0474,-118.3763
1,LA-5523,SB,La Cienega Blvd,FS,Beverly Blvd,SWC,Beverly Grove,90048,34.0755,-118.3768
1,LA-3500,SB,La Tijera Blvd,NS,78th St,NWC,Westchester/LAX,90045,33.9687,-118.381
1,LA-3511,SB,La Tijera Blvd,NS,Alvern Circle,NWC,Westchester/LAX,90045,33.9753,-118.374
1,LA-3525,EB,La Tijera Blvd,NS,Wiley Post Ave,SWC,Westchester/LAX,90045,33.9627,-118.3882
1,LA-1347,SB,Lankershim Blvd,NS,Hesby St,NWC,North Hollywood,91601,34.1621,-118.3731
1,LA-1363,SB,Lankershim Blvd,NS,Moorpark St,NWC,Studio City,91602,34.1506,-118.3661
1,LA-0360,SB,Laurel Canyon Blvd,NS,Oxnard St,NWC,Valley Glen,91606,34.1796,-118.3967
1,LA-7639,WB,Le Conte Ave,NS,Gayley Ave,NEC,Westwood,90024,34.0637,-118.4479
1,LA-3565,NB,Lincoln Blvd,NS,Sunset Ave,SEC,Venice,90291,34.0001,-118.4651
1,LA-3578,NB,Lincoln Blvd,NS,Zanja St,SEC,Venice,90291,33.9923,-118.4493
1,LA-1385,WB,Los Feliz Blvd,NS,Wayne Ave,NEC,Los Feliz/Griffith Park,90027,34.1132,-118.28
1,LA-0374,WB,Magnolia Blvd,FS,Colfax Ave,NWC,Valley Village,91601,34.165,-118.3883
1,LA-5752,EB,Magnolia Blvd,NS,Fulton Ave,SEC,Van Nuys,91404,34.1648,-118.4223
1,LA-0379,WB,Magnolia Blvd,NS,Hazeltine Ave,NEC,Sherman Oaks/Van Nuys,91423,34.165,-118.439
1,LA-3584,NB,Main St,NS,Market St,SEC,Venice,90291,33.9886,-118.4714
1,LA-6031,EB,Manchester Ave,NS,Kentwood Ave,SWC,Westchester/LAX,90045,33.9597,-118.4
1,LA-3632,EB,Manchester Ave,FS,Lincoln Blvd,SEC,Westchester/LAX,90045,33.9596,-118.418
1,LA-6307,WB,Melrose Ave,NS,Gower St,NEC,Larchmont,90004,34.0836,-118.3219
1,LA-4626,EB,Melrose Ave,NS,Heliotrope Dr,SWC,East Hollywood,90029,34.0835,-118.2955
1,LA-1829,WB,Melrose Ave,NS,Spaulding Ave,NEC,Fairfax,90046,34.0838,-118.3572
1,LA-5632,EB,Melrose Ave,NS,Virgil Ave,SWC,East Hollywood,90029,34.0837,-118.2873
1,LA-5595,WB,Melrose Ave,NS,Wilcox Ave,NEC,Hollywood (CA),90038,34.083575,-118.3308
1,LA-1408,EB,Melrose Ave,NS,Wilton Pl,SWC,Larchmont,90038,34.0834,-118.3137
1,LA-3671,WB,Mindanao Way,NS,Lincoln Blvd,NEC,Marina Del Rey,90292,33.9809,-118.4388
1,LA-3797,WB,Mindanao Way (Short Ave),FS,Alla Rd,NWC,Marina Del Rey,90292,33.9879,-118.4338
1,LA-1832,EB,Moorpark St,NS,Ethel Ave,SWC,Sherman Oaks/Van Nuys,91423,34.1503,-118.418
1,LA-1844,SB,Motor Ave,NS,Woodbine St,NWC,Palms,90034,34.0278,-118.4097
1,LA-0698,WB,Mulholland Dr,FS,Coloma Ave,NWC,Woodland Hills,91364,34.1507,-118.624
1,LA-1862,WB,National Pl,FS,Overland Ave,NWC,Palms,90034,34.0308,-118.4168
1,LA-0148,NB,Normandie Ave,NS,Pico Blvd,SEC,Pico-Union,90006,34.047,-118.3
1,LA-5756,WB,Ocean Park Blvd,NS,Bundy Dr,NEC,Palms,90064,34.0247,-118.4462
1,LA-3155,WB,Olympic Blvd,NS,4th St,NEC,Arlington Heights,90019,34.0531,-118.3183
1,LA-3691,WB,Olympic Blvd,NS,Barrington Ave,NEC,Sawtelle,90064,34.0346,-118.4476
1,LA-3158,WB,Olympic Blvd,NS,Catalina St,NEC,Pico-Union,90006,34.0528,-118.2944
1,LA-3160,EB,Olympic Blvd,NS,Cochran Ave,SWC,Mid-Wilshire,90019,34.0572,-118.3494
1,LA-1419,EB,Olympic Blvd,NS,Cochran Ave,SWC,Mid-Wilshire,90019,34.0572,-118.3494
1,LA-0155,EB,Olympic Blvd,NS,Elden Ave,SWC,Pico-Union,90006,34.0523,-118.288
1,LA-0158,EB,Olympic Blvd,NS,Hoover St,SWC,Pico-Union,90006,34.0523,-118.2845
1,LA-3170,EB,Olympic Blvd,NS,Mansfield Ave,SWC,Mid-Wilshire,90036,34.057,-118.343
1,LA-1426,WB,Olympic Blvd,NS,Ogden Dr,NEC,Mid-Wilshire,90036,34.0579,-118.3616
1,LA-3177,EB,Olympic Blvd,NS,St Andrews Pl,SWC,Harvard Heights,90019,34.0525,-118.3115
1,LA-7309,EB,Oxnard St,NS,Coldwater Canyon Ave,SWC,Valley Glen,91401,34.1793,-118.4141
1,LA-2244,WB,Oxnard St,FS,Hazeltine Ave,NWC,Van Nuys,91401,34.1795,-118.44
1,LA-0404,EB,Oxnard St,NS,Lankershim Blvd,SWC,North Hollywood,91606,34.1793,-118.3837
1,LA-5735,NB,Pershing Dr,NS,Manchester Ave,SEC,Playa Del Rey,90293,33.9559,-118.4419
